series_reference,period,data_value,suppressed,status,units,magnitude,subject,groupe,series_title_1,series_title_2,series_title_3
BDCQ.SED1RET,2021.03,,,C,Number,0,Business Data Collection - BDC,Region by employment variable,Filled jobs,Gisborne,Trend
BDCQ.SED1RET,2021.06,,,C,Number,0,Business Data Collection - BDC,Region by employment variable,Filled jobs,Gisborne,Trend
BDCQ.SED1RET,2021.09,,,C,Number,0,Business Data Collection - BDC,Region by employment variable,Filled jobs,Gisborne,Trend
BDCQ.SED1RET,2021.12,,,C,Number,0,Business Data Collection - BDC,Region by employment variable,Filled jobs,Gisborne,Trend
BDCQ.SED1RET,2022.03,,,C,Number,0,Business Data Collection - BDC,Region by employment variable,Filled jobs,Gisborne,Trend
BDCQ.SED1RET,2022.06,,Y,C,Number,0,Business Data Collection - BDC,Region by employment variable,Filled jobs,Gisborne,Trend
BDCQ.SED1RFA,2011.06,64555,,F,Number,0,Business Data Collection - BDC,Region by employment variable,Filled jobs,Hawke's Bay,Actual
BDCQ.SED1RFA,2011.09,61524,,F,Number,0,Business Data Collection - BDC,Region by employment variable,Filled jobs,Hawke's Bay,Actual
BDCQ.SED1RFA,2011.12,62878,,F,Number,0,Business Data Collection - BDC,Region by employment variable,Filled jobs,Hawke's Bay,Actual
BDCQ.SED1RFA,2012.03,64697,,F,Number,0,Business Data Collection - BDC,Region by employment variable,Filled jobs,Hawke's Bay,Actual
BDCQ.SED1RFA,2012.06,65036,,F,Number,0,Business Data Collection - BDC,Region by employment variable,Filled jobs,Hawke's Bay,Actual
BDCQ.SED1RFA,2012.09,61192,,F,Number,0,Business Data Collection - BDC,Region by employment variable,Filled jobs,Hawke's Bay,Actual
BDCQ.SED1RFA,2012.12,63069,,F,Number,0,Business Data Collection - BDC,Region by employment variable,Filled jobs,Hawke's Bay,Actual
BDCQ.SED1RFA,2013.03,65463,,F,Number,0,Business Data Collection - BDC,Region by employment variable,Filled jobs,Hawke's Bay,Actual
BDCQ.SED1RFA,2013.06,65183,,F,Number,0,Business Data Collection - BDC,Region by employment variable,Filled jobs,Hawke's Bay,Actual
BDCQ.SED1RFA,2013.09,61757,,F,Number,0,Business Data Collection - BDC,Region by employment variable,Filled jobs,Hawke's Bay,Actual
BDCQ.SED1RFA,2013.12,64457,,F,Number,0,Business Data Collection - BDC,Region by employment variable,Filled jobs,Hawke's Bay,Actual
BDCQ.SED1RFA,2014.03,66729,,F,Number,0,Business Data Collection - BDC,Region by employment variable,Filled jobs,Hawke's Bay,Actual
BDCQ.SED1RFA,2014.06,65585,,F,Number,0,Business Data Collection - BDC,Region by employment variable,Filled jobs,Hawke's Bay,Actual
BDCQ.SED1RFA,2014.09,62276,,F,Number,0,Business Data Collection - BDC,Region by employment variable,Filled jobs,Hawke's Bay,Actual
BDCQ.SED1RFA,2014.12,63989,,F,Number,0,Business Data Collection - BDC,Region by employment variable,Filled jobs,Hawke's Bay,Actual
BDCQ.SED1RFA,2015.03,66823,,F,Number,0,Business Data Collection - BDC,Region by employment variable,Filled jobs,Hawke's Bay,Actual
BDCQ.SED1RFA,2015.06,67204,,F,Number,0,Business Data Collection - BDC,Region by employment variable,Filled jobs,Hawke's Bay,Actual
